ageEstimate;companyName;connectionsCount;country;followable;followersCount;genderEstimate;posTitle;startDate;endDate;ID;type
25.0;CHARLESWORTH NUTS PTY. LTD.;109.0;au;1.0;108.0;male;Team Leader;2010-09-01;;105;train
25.0;McDonald's;109.0;au;1.0;108.0;male;Industry Placement - Marketing Department;2016-03-01;2016-07-01;105;train
25.0;McDonald's;109.0;au;1.0;108.0;male;Work Experience - Marketing Department;2016-02-01;2016-02-01;105;train
25.0;SANFL;109.0;au;1.0;108.0;male;Corporate Partnerships Graduate;2017-03-01;2017-11-01;105;train
35.0;UQ Queensland Brain Institute;92.0;au;1.0;93.0;male;Research Fellow;2014-01-01;2015-01-01;223;train
45.0;Stuartholme School;86.0;au;1.0;86.0;female;Business Teacher;2001-01-01;;34257;train
45.0;Stuartholme School;86.0;au;1.0;86.0;female;Head of Department - Business;2001-01-01;2014-12-01;34257;train
33.0;PwC;414.0;au;1.0;413.0;female;Vacation Clerk;2008-12-01;2009-01-01;44993;train
33.0;Gilbert + Tobin;414.0;au;1.0;413.0;female;Lawyer;2011-01-01;2016-07-01;44993;train
33.0;Newcrest Mining;414.0;au;1.0;413.0;female;Legal Counsel (Secondee);2017-04-01;2017-07-01;44993;train
33.0;Gilbert + Tobin;414.0;au;1.0;413.0;female;Senior Associate;2016-07-01;;44993;train
50.0;Integrated Global Partners;474.0;au;1.0;489.0;male;Practice Lead & Program Manager;2015-03-01;2017-03-01;84567;train
50.0;QSuper Group;474.0;au;1.0;489.0;male;Program Manager - Open Market Competition;2013-10-01;2015-02-01;84567;train
50.0;Open Minds;474.0;au;1.0;489.0;male;Non Executive Director;2017-06-01;;84567;train
50.0;Amnesty International Australia;474.0;au;1.0;489.0;male;Board Director & Vice President;2012-05-01;;84567;train
46.0;Vodafone;500.0;au;1.0;890.0;male;State Manager South Australia;2005-04-01;2011-02-01;116390;train
46.0;Vodafone;500.0;au;1.0;890.0;male;State Manager;2008-02-01;2011-02-01;116390;train
46.0;Broadland Solutions;500.0;au;1.0;890.0;male;Sales Director / Partner;2011-03-01;;116390;train
21.0;WDS Limited;485.0;au;1.0;486.0;male;Construction Supervisor;2010-11-01;2015-12-01;144910;train
21.0;MPC GROUP LTD;485.0;au;1.0;486.0;male;Construction Manager;2016-02-01;2018-05-01;144910;train
21.0;Modern Roofing Inc;485.0;au;1.0;486.0;male;Sales Executive;2009-01-01;2010-10-01;144910;train
21.0;Santos Ltd;485.0;au;1.0;486.0;male;Construction Supervisor;2018-08-01;;144910;train
21.0;Team Image;32.0;au;1.0;33.0;male;Business Owner;2004-12-01;2015-06-01;150601;train
53.0;NSW Police;500.0;au;1.0;4127.0;male;Detective;1987-01-01;1996-12-01;170111;train
48.0;Deloitte;265.0;au;1.0;266.0;male;Director;2001-01-01;2011-12-01;202911;train
48.0;TicToc Home;265.0;au;1.0;266.0;male;Manager, Business Support;2017-03-01;;202911;train
48.0;SOCOG: Sydney Organising Committee for the Olympic Games;265.0;au;1.0;266.0;male;"Project Manager; Financial Risk Reporting";2000-07-01;2000-12-01;202911;train
48.0;EY;265.0;au;1.0;266.0;male;"Manager; Assurance & Advisory";1998-08-01;2000-03-01;202911;train
58.0;BG Group;333.0;au;1.0;365.0;male;Chief Operating Officer;2005-01-01;2008-04-01;225659;train
58.0;Mubadala Petroleum;333.0;au;1.0;365.0;male;Vice President Technical;2015-02-01;2016-07-01;225659;train
58.0;Santos Ltd;333.0;au;1.0;365.0;male;Director GLNG, Appraisal & Development;2012-01-01;2014-12-01;225659;train
58.0;Talisman Energy - Asia Pacific;333.0;au;1.0;365.0;male;Vice President Australia & PNG;2009-10-01;2011-11-01;225659;train
34.0;IE Digital;325.0;au;1.0;322.0;male;Agile Senior BA/Scrum Master;2015-04-01;;226223;train
34.0;IE Digital;325.0;au;1.0;322.0;male;Digital Test Analyst;2013-03-01;;226223;train
34.0;Kamco;325.0;au;1.0;322.0;male;Test Analyst;2012-11-01;2012-12-01;226223;train
34.0;Planit Testing;325.0;au;1.0;322.0;male;Test Analyst;2012-05-01;2012-10-01;226223;train
45.0;Ray White;500.0;au;1.0;4358.0;male;Senior Sales Consultant;1999-03-01;2002-12-01;272700;train
45.0;Gary Peer & Associates P/L;500.0;au;1.0;4358.0;male;Senior Sales Consultant;2002-01-01;2004-03-01;272700;train
45.0;Gough Recruitment;500.0;au;1.0;4358.0;male;Senior Property & Real Estate Consultant;2005-03-01;2007-01-01;272700;train
25.0;Lotus Desaru Beach Resort & Spa;288.0;au;1.0;290.0;female;Executive Assistant to CEO;2010-01-01;2013-02-01;286951;train
25.0;Cosmax Prestige Brands Australia;288.0;au;1.0;290.0;female;Fragrance Consultant;2015-10-01;;286951;train
30.0;QUT (Queensland University of Technology);500.0;au;1.0;2925.0;male;Contracted Research Assistant;2014-05-01;2016-01-01;288024;train
30.0;The University of Queensland;500.0;au;1.0;2925.0;male;Teaching Assistant - University Courses;2014-07-01;2018-01-01;288024;train
30.0;The University of Queensland;500.0;au;1.0;2925.0;male;Contracted Research Assistant;2015-02-01;2016-12-01;288024;train
30.0;CSIRO;500.0;au;1.0;2925.0;male;Contractor;2017-02-01;2017-07-01;288024;train
52.0;Empolotez Signature Firearms Pty Ltd;500.0;au;1.0;724.0;male;Business Owner;2014-10-01;;301831;train
52.0;SYPAQ Systems;500.0;au;1.0;724.0;male;RF Project Engineer;2017-07-01;2017-08-01;301831;train
52.0;Pavtech Design Systems P/L;500.0;au;1.0;724.0;male;Telecommunications Consultant (RF / Wireless, SatComm & Network Solutions Engineer);1999-06-01;;301831;train
